fullName,email,mobileNumber,dateOfBirth,panNumber,employmentType,annualIncome,hasForeignIncome,isGstRegistered,has80CInvestments,investment80CAmount,healthInsurancePremium,homeLoanInterest,educationLoanInterest,form16File,panCardFile,additionalDocuments
Rachita Sachdev,ybabu@example.net,2976191793,1990-03-04,HQHEG0975V,Freelancer,2559692,false,false,false,0,17982,125440,38901,,,
Yutika Parekh,avi26@example.net,6096645275,1999-06-21,ILPLA4783S,Salaried,2744656,true,true,false,0,16509,132353,27981,,,
Hritik Parsa,subramanianshravya@example.net,2708918118,1966-10-12,VWLFD2021A,Freelancer,1407303,false,false,true,124845,5194,81438,84506,,,
Lajita Talwar,dbhasin@example.com,1991413191,1985-03-25,QUSSE7305L,Salaried,2475375,false,true,true,127675,21500,197353,50935,,,
Charita Yogi,krishnamurthyxavier@example.com,0497645749,1990-01-20,WSAVL5641L,Self-employed,1982427,false,false,false,0,9190,117193,19246,,,
Harinakshi Bhalla,niteshoza@example.com,9130007246,1966-11-12,ZJXLF7287K,Salaried,2033550,true,true,true,121764,3333,23123,28781,,,
Balendra Murthy,rajagopalanvaishnavi@example.com,1913717249,1972-07-13,LRASL1240Z,Self-employed,1390789,false,false,false,0,66667,53956,15236,,,
Anusha Grewal,jloke@example.org,9786106060,1990-10-25,WHWDR2532F,Salaried,2840871,true,true,true,111452,22631,199115,46477,,,
Ishani Bera,zpatla@example.com,7956409595,1980-01-12,QAOFB2931Y,Unemployed,2293285,true,true,true,5823,18873,40303,21505,,,
Riya Baral,andrazayyan@example.org,3746551843,1996-07-18,MGADL2130Z,Salaried,2729418,false,false,false,0,15614,6617,63449,,,
Forum Andra,udant73@example.com,1355262826,1983-08-30,YPBJR2878K,Freelancer,2130114,true,true,true,14426,70229,114536,56555,,,
Wishi Mody,ymajumdar@example.org,7163836223,1981-10-05,NLIXN4184J,Freelancer,2403651,true,true,true,51426,37144,141847,33685,,,
Bina Mohanty,zarna90@example.net,0575056814,1994-05-11,RTGHP4213M,Self-employed,717106,false,true,false,0,52186,187784,33269,,,
Anita Ganesh,arunima79@example.com,4849952626,1971-12-06,LEXFU5398I,Self-employed,2697960,false,false,true,106069,1722,157048,60374,,,
Gopal Borah,yashicasani@example.com,1181143851,1973-09-25,UKRQY6142Z,Self-employed,1903184,false,false,false,0,57535,121215,60539,,,
Kala Dora,lajita38@example.com,5474416465,1994-05-19,LBPFL1699K,Freelancer,1339948,false,false,true,108645,36135,22443,35351,,,
Fariq Sridhar,rajavedant@example.org,6449363507,1967-01-08,WCSWM4471Z,Freelancer,2459978,false,true,false,0,20767,26141,59761,,,
Girik Goel,theodore29@example.net,8113040476,1999-04-30,IPHXJ8831R,Salaried,831784,false,false,false,0,19101,22461,24989,,,
Wahab Sethi,fitanhayer@example.org,7789994236,1992-03-13,GQQBY0372N,Salaried,1037856,false,false,true,113079,22084,162424,36788,,,
Aadhya Johal,kotahitesh@example.com,1269631055,1998-07-01,THACW5283D,Freelancer,432913,false,true,true,86386,5593,88528,40,,,
Falguni Banerjee,balvanmaster@example.org,6193009452,1988-12-14,HREVX9616S,Salaried,422087,false,false,true,65457,55563,168846,29740,,,
Gaurang Sule,kabirtrivedi@example.com,3982343636,1988-03-15,VLCSW0982V,Self-employed,1724938,false,false,false,0,6970,192890,73444,,,
Harsh Nanda,ipau@example.net,1858874997,1966-05-29,WSQVV8517C,Unemployed,2951891,true,false,false,0,42424,103312,85029,,,
Praneel Sami,bhattiyachana@example.com,5218970231,1984-02-07,GEDDC6098P,Salaried,2099489,true,true,false,0,16744,21434,52425,,,
Raksha Kale,cdave@example.com,1393677890,1980-08-18,QMOOA4282C,Salaried,1381027,false,true,true,42084,21696,151736,2350,,,
Ekta Barad,avi66@example.com,4200363501,1975-03-18,IWTYF2005J,Salaried,354504,false,true,true,120312,1310,166234,99318,,,
Shravya Pingle,samarwable@example.org,0591091535,1995-08-31,LKQIP2583C,Unemployed,1013295,false,false,false,0,54696,93444,3705,,,
Saksham Peri,jdugal@example.net,3386735708,1980-02-27,TDQOA9822A,Freelancer,723455,false,false,false,0,59836,65349,28043,,,
Udarsh Palla,alexanderlal@example.org,4390348382,1992-06-03,LXSSA2889B,Self-employed,1195208,false,true,true,38081,29687,165312,71401,,,
Wyatt Karpe,wasonyamini@example.com,1064811976,1980-08-25,RDBUO6029D,Freelancer,1528887,false,true,false,0,3995,47721,67013,,,
Balhaar Bora,basakdavid@example.net,7688133568,1980-06-06,XVAFB8084U,Self-employed,2965561,true,true,true,92651,32478,168319,84141,,,
Dalaja Dutta,qushidhar@example.com,0194373714,1985-02-02,UBKZJ6353K,Salaried,1562510,false,true,false,0,47167,69722,61206,,,
Rushil Virk,vedikabali@example.com,7673941145,1989-12-26,EWRVI7042G,Unemployed,1325905,true,false,false,0,15725,10849,3180,,,
Tanish Tripathi,norinihal@example.com,4316031012,2002-09-29,TRUFL1805Y,Self-employed,2575068,true,false,false,0,16982,81512,21673,,,
Lohit Edwin,wrideshsolanki@example.com,1885826225,1972-09-20,TIZIP1243T,Self-employed,1002599,false,false,true,125042,13522,15922,54047,,,
Ethan Verma,hitesh94@example.net,1942663628,2003-08-01,QVAQH6510B,Freelancer,283096,true,true,true,13556,18698,91726,78333,,,
Dalaja Mandal,dhriti91@example.org,2405416638,1968-07-02,OLVNK2984K,Salaried,943047,false,false,false,0,1084,95524,75842,,,
Ekbal Grover,gbassi@example.com,6426296552,1984-12-28,XBMKC1142B,Unemployed,618238,false,true,false,0,69174,29447,61883,,,
Omkaar Prashad,urishillapandit@example.com,0054831641,1976-05-05,PWJRI3717I,Self-employed,713923,true,false,false,0,18197,110891,88697,,,
Kashvi Pradhan,sainimitesh@example.com,6092689091,1972-10-09,TUFYM3989Z,Salaried,1427052,true,false,true,102745,69711,81084,85984,,,
Jeremiah Sridhar,basakekta@example.com,2951832276,1964-12-25,YXATW9348R,Salaried,2586912,true,true,true,118262,7141,66208,7779,,,
Liam Bassi,williamravel@example.net,8369404647,1967-01-24,GIVUV8061T,Unemployed,550163,false,false,false,0,56906,22239,98070,,,
Charles Tailor,sai99@example.org,6354740664,1996-01-14,AERFJ4136G,Self-employed,612867,true,true,false,0,43210,164862,35231,,,
Karan Chhabra,anamikagole@example.net,7246637221,1989-07-25,YIRCZ8175T,Freelancer,2077014,false,false,true,40229,4580,16603,14188,,,
Manan Trivedi,iyerimaran@example.com,7165371010,2001-05-10,BQCRL1395X,Freelancer,475014,true,true,true,31160,10640,114644,4200,,,
